Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
ADAPTADOR REDUCTOR PARA DADO 1/2 INT X 3/8 EXT TRUEPOWER,TPAD1165,7506069050497,ANBEC,0.0,38.0,Pieza,38.0,100.0
ADAPTADOR REDUCTOR PARA DADO 3/8 INT X 1/4 EXT TRUEPOWER,TPAD1164,7506069050480,ANBEC,0.0,26.0,Pieza,26.0,100.0
ADHEBOND 19LTS PASA,,,MG,0.0,1450.0,Pieza,1450.0,100.0
ADHESIVO VL2000 CONT.17L.TAP L,,,All,0.0,3169.08,Pieza,3169.08,100.0
AGUJA PARA INFLAR BALONES BOLSA CON 100 PZS TRUEPOWER,TPINEED100,7506069032660,ANBEC,0.0,135.0,Pieza,135.0,100.0
AIREADOR PARA MEZCLADORA ROSCA EXT PAQ C/10PZAS ANBEC,AREMRE,7506069000096,ANBEC,0.0,278.0,Pieza,278.0,100.0
AIREADOR PARA MEZCLADORA ROSCA INT PAQ C/ 10PZAS ANBEC,AREMRI,7506069000089,ANBEC,0.0,278.0,Pieza,278.0,100.0
ALAMBRE PARA COLGAR VERDE 30 MTS,975771,,HOME DEPOT,0.0,1.0,Pieza,1.0,100.0
ALIMENTADOR GAS TRENZADO ALUMINIO 3/8 X 3/8 1 MTS ANBEC,AGAL1,7506069028571,ANBEC,0.0,84.0,Pieza,84.0,100.0
ALIMENTADOR GAS TRENZADO ALUMINIO 3/8 X 3/8 1.5 MTS ANBEC,AGAL15,7506069028588,ANBEC,0.0,91.0,Pieza,91.0,100.0
ALIMENTADOR GAS TRENZADO ALUMINIO 3/8 X 3/8 2 MTS ANBEC,AGAL2,7506069028595,ANBEC,0.0,104.0,Pieza,104.0,100.0
ALIMENTADOR GAS TRENZADO ALUMINIO 3/8 X 3/8 3 MTS ANBEC,AGAL3,7506069028601,ANBEC,0.0,130.0,Pieza,130.0,100.0
ALIMENTADOR GAS TRENZADO ALUMINIO 3/8 X 3/8 4 MTS ANBEC,AGAL4,7506069028618,ANBEC,0.0,163.0,Pieza,163.0,100.0
ALIMENTADOR GAS TRENZADO ALUMINIO 3/8 X 3/8 5 MTS ANBEC,AGAL5,7506069028625,ANBEC,0.0,182.0,Pieza,182.0,100.0
ALIMENTADOR GAS TRENZADO ALUMINIO 3/8 X 3/8 60 CMS ANBEC,AGAL60,7506069028564,ANBEC,0.0,77.0,Pieza,77.0,100.0
ALIMENTADOR GAS TRENZADO NYLON 3/8 X 3/8 1 MTS ANBEC,AGTN1400,7506069054228,ANBEC,0.0,78.0,Pieza,78.0,100.0
ALIMENTADOR GAS TRENZADO NYLON 3/8 X 3/8 1.5 MTS ANBEC,AGTN1401,7506069054235,ANBEC,0.0,102.0,Pieza,102.0,100.0
ALIMENTADOR GAS TRENZADO NYLON 3/8 X 3/8 2 MTS ANBEC,AGTN1402,7506069054242,ANBEC,0.0,129.0,Pieza,129.0,100.0
ALIMENTADOR GAS TRENZADO NYLON 3/8 X 3/8 3 MTS ANBEC,AGTN1403,7506069054259,ANBEC,0.0,195.0,Pieza,195.0,100.0
ALIMENTADOR GAS TRENZADO NYLON 3/8 X 3/8 4 MTS ANBEC,AGTN1404,7506069054266,ANBEC,0.0,226.0,Pieza,226.0,100.0
ALIMENTADOR GAS TRENZADO NYLON 3/8 X 3/8 5 MTS ANBEC,AGTN1405,7506069054273,ANBEC,0.0,259.0,Pieza,259.0,100.0
ALIMENTADOR GAS TRENZADO NYLON 3/8 X 3/8 60 CMS ANBEC,AGTN1399,7506069054211,ANBEC,0.0,67.5,Pieza,67.5,100.0
ALIMENTADOR LAV FREG ALUM 1/2 X 1/2 1 MTS BITKA,BKA1240,7506069051586,ANBEC,0.0,41.0,Pieza,41.0,100.0
ALIMENTADOR LAV FREG ALUM 1/2 X 1/2 1 MTS BITKA,BKA1239,7506069051579,ANBEC,0.0,36.5,Pieza,36.5,100.0
ALIMENTADOR LAV FREG ALUM 1/2 X 1/2 40 CMS BITKA,BKA985,7506069048074,ANBEC,0.0,21.0,Pieza,21.0,100.0
ALIMENTADOR LAV FREG ALUM 1/2 X 1/2 40 CMS BITKA,BKA421,7506069024009,ANBEC,0.0,30.0,Pieza,30.0,100.0
ALIMENTADOR LAV FREG ALUM 1/2 X 1/2 55 CMS BITKA,BKA422,7506069024016,ANBEC,0.0,34.0,Pieza,34.0,100.0
ALIMENTADOR LAV FREG ALUM 1/2 X 1/2 55 CMS BITKA,BKA986,7506069048081,ANBEC,0.0,22.5,Pieza,22.5,100.0
ALIMENTADOR LAV FREG TRENZADO ALUM 1/2 X 1/2 1 MTS ANBEC,ALIM1MA,7506069000515,ANBEC,0.0,58.5,Pieza,58.5,100.0
ALIMENTADOR LAV FREG TRENZADO ALUM 1/2 X 1/2 40 CMS ANBEC,ALIM40MA,7506069000447,ANBEC,0.0,32.0,Pieza,32.0,100.0
ALIMENTADOR LAV FREG TRENZADO ALUM 1/2 X 1/2 55 CMS ANBEC,ALIM55MA,7506069000287,ANBEC,0.0,34.0,Pieza,34.0,100.0
ALIMENTADOR LAV FREG TRENZADO VINILO 1/2 X 1/2 40 CMS ANBEC,ALILV40,7506069000478,ANBEC,0.0,40.0,Pieza,40.0,100.0
ALIMENTADOR LAV FREG TRENZADO VINILO 1/2 X 1/2 55 CMS ANBEC,ALILV55,7506069000485,ANBEC,0.0,46.0,Pieza,46.0,100.0
ALIMENTADOR LAV T ALUM 1/2 20 X 20 X 40 CMS ANBEC,ALILTM,7506069037092,ANBEC,0.0,135.0,Pieza,135.0,100.0
ALIMENTADOR LAV TRAMADO HULE REF 1/2 X 1/2 40 CMS ANBEC,ALIL213,7506069001352,ANBEC,0.0,34.0,Pieza,34.0,100.0
ALIMENTADOR LAV TRAMADO HULE REF 1/2 X 1/2 55 CMS ANBEC,ALIL214,7506069000454,ANBEC,0.0,38.0,Pieza,38.0,100.0
ALIMENTADOR LAVABO / FREGADERO 1/2 X 1/2 40CM ANBEC ELITE,AEAL1067,7506069083532,ANBEC,0.0,78.0,Pieza,78.0,100.0
ALIMENTADOR LAVABO / FREGADERO 1/2 X 1/2 55CM ANBEC ELITE,AEAL1069,7506069083563,ANBEC,0.0,88.0,Pieza,88.0,100.0
ALIMENTADOR LAVABO / FREGADERO NEGRO 1/2 X 1/2 40CM ANBEC ELITE,AEAL1066,7506069083525,ANBEC,0.0,78.0,Pieza,78.0,100.0
ALIMENTADOR LAVABO / FREGADERO NEGRO 1/2 X 1/2 55CM ANBEC ELITE,AEAL1068,7506069083556,ANBEC,0.0,88.0,Pieza,88.0,100.0
ALIMENTADOR SANITARIO 1/2 X 7/8 35CM ANBEC ELITE,AEAS1065,7506069083518,ANBEC,0.0,90.0,Pieza,90.0,100.0
ALIMENTADOR SANITARIO ALUM 1/2 X 7/8 35 CMS BITKA,BKA983,7506069048050,ANBEC,0.0,24.5,Pieza,24.5,100.0
ALIMENTADOR SANITARIO ALUM 1/2 X 7/8 40 CMS BITKA,BKA419,7506069023989,ANBEC,0.0,31.5,Pieza,31.5,100.0
ALIMENTADOR SANITARIO ALUM 1/2 X 7/8 55 CMS BITKA,BKA420,7506069023996,ANBEC,0.0,35.5,Pieza,35.5,100.0
ALIMENTADOR SANITARIO ALUM 1/2 X 7/8 55 CMS BITKA,BKA984,7506069048067,ANBEC,0.0,27.5,Pieza,27.5,100.0
ALIMENTADOR SANITARIO NEGRO 1/2 X 7/8 35CM ANBEC ELITE,AEAS1064,7506069083501,ANBEC,0.0,90.0,Pieza,90.0,100.0
ALIMENTADOR SANITARIO TRAMADO HULE REF 1/2 X 7/8 35 CMS ANBEC,ALIS215,7506069001369,ANBEC,0.0,40.0,Pieza,40.0,100.0
ALIMENTADOR SANITARIO TRAMADO HULE REF 1/2 X 7/8 55 CMS ANBEC,ALIS216,7506069000461,ANBEC,0.0,47.0,Pieza,47.0,100.0
ALIMENTADOR SANITARIO TRENZADO ALUM 1/2 X 7/8 40 CMS ANBEC,ALISM40,7506069000300,ANBEC,0.0,35.0,Pieza,35.0,100.0
ALIMENTADOR SANITARIO TRENZADO ALUM 1/2 X 7/8 55 CMS ANBEC,ALISM55,7506069000294,ANBEC,0.0,40.0,Pieza,40.0,100.0
ALIMENTADOR SANITARIO TRENZADO VINILO 1/2 X 7/8 40 CMS ANBEC,ALISV40,7506069000492,ANBEC,0.0,40.0,Pieza,40.0,100.0
ALIMENTADOR SANITARIO TRENZADO VINILO 1/2 X 7/8 55 CMS ANBEC,ALISV55,7506069000508,ANBEC,0.0,46.0,Pieza,46.0,100.0
ALMOHADILLA DE ESPUMA ANTIDESLIZANTE CUADRADA 1 X 1 X 4 MM NEGRO PAQ C/18 PZAS SHUTZ,SZAE1915,7506069065910,ANBEC,0.0,33.0,Pieza,33.0,100.0
ALMOHADILLA DE ESPUMA ANTIDESLIZANTE REDONDA 1 1/2 X 4 MM NEGRO PAQ C/8 PZAS SHUTZ,SZAE1914,7506069065903,ANBEC,0.0,33.0,Pieza,33.0,100.0
ALMOHADILLA DE ESPUMA ANTIDESLIZANTE REDONDA 1 X 4 MM NEGRO PAQ C/18 PZAS SHUTZ,SZAE1916,7506069065927,ANBEC,0.0,33.0,Pieza,33.0,100.0
ALMOHADILLA DE FELPA CUADRADA 1  X 2.5 MM CAFE C/18 PZAS SHUTZ,SZAF1924,7506069065972,ANBEC,0.0,49.0,Pieza,49.0,100.0
ALMOHADILLA DE FELPA CUADRADA 1 1/2 X 1 1/2 X 4MM BLANCO PAQ C/8 PZAS SHUTZ,SZAF1918,7506069065958,ANBEC,0.0,34.0,Pieza,34.0,100.0
ALMOHADILLA DE FELPA CUADRADA 1 1/2 X 1 1/2X 4 MM CAFE PAQ C/8 PZAS SHUTZ,SZAF1922,7506069066153,ANBEC,0.0,45.0,Pieza,45.0,100.0
ALMOHADILLA DE FELPA CUADRADA 1 X 1 X 2.5 MM BLANCO PAQ C/18 PZAS SHUTZ,SZAF1919,7506069066108,ANBEC,0.0,40.0,Pieza,40.0,100.0
ALMOHADILLA DE FELPA REDONDA 1 1/2 X 4 MM BLANCO PAQ C/8 PZAS SHUTZ,SZAF1917,7506069065934,ANBEC,0.0,33.0,Pieza,33.0,100.0
ALMOHADILLA DE FELPA REDONDA 1 1/2 X 4 MM CAFE PAQ C/8 PZAS SHUTZ,SZAF1921,7506069066139,ANBEC,0.0,49.0,Pieza,49.0,100.0
ALMOHADILLA DE FELPA REDONDA 1 X 1X 2.5 MM CAFE C/18 PZAS SHUTZ,SZAF1923,7506069065965,ANBEC,0.0,49.0,Pieza,49.0,100.0
ALMOHADILLA DE FELPA REDONDA 1 X 2.5 MM BLANCO PAQ C/18 PZAS SHUTZ,SZAF1920,7506069066122,ANBEC,0.0,40.0,Pieza,40.0,100.0
