"Nombre","Referencia interna","Código de barras","Categoría de producto","Coste","Precio de venta","Unidad SAT"
"EMPAQUE DE NEOPRENO CONICO 1/4 L BOLSA 100 PZS ANBEC","ENC14L","7506069053610","ANBEC","0.0","98.0","Pieza"
"EMPAQUE DE NEOPRENO CONICO 3/8 BOLSA 100 PZS ANBEC","ENC38","7506069011429","ANBEC","0.0","98.0","Pieza"
"EMPAQUE DE NEOPRENO CONICO 3/8 L BOLSA 100 PZS ANBEC","ENC38L","7506069052736","ANBEC","0.0","98.0","Pieza"
"EMPAQUE DE NEOPRENO CONICO 3/8 M BOLSA 100 PZS ANBEC","ENC38M","7506069052460","ANBEC","0.0","98.0","Pieza"
"EMPAQUE DE NEOPRENO PARA BRIDA 203 MM","","","EUROVAL","46.4","65.0","Pieza"
"EMPAQUE DE NEOPRENO PLANO 0 BOLSA 100 PZS ANBEC","ENP0","7506069011078","ANBEC","0.0","98.0","Pieza"
"EMPAQUE DE NEOPRENO PLANO 00 BOLSA 100 PZS ANBEC","ENP00","7506069011085","ANBEC","0.0","98.0","Pieza"
"EMPAQUE DE NEOPRENO PLANO 1/2 BOLSA 100 PZS ANBEC","ENP12","7506069011092","ANBEC","0.0","128.0","Pieza"
"EMPAQUE DE NEOPRENO PLANO 1/2 L BOLSA 100 PZS ANBEC","ENP12L","7506069052453","ANBEC","0.0","128.0","Pieza"
"EMPAQUE DE NEOPRENO PLANO 1/4 BOLSA 100 PZS ANBEC","ENP14","7506069011108","ANBEC","0.0","98.0","Pieza"
"EMPAQUE DE NEOPRENO PLANO 1/4 L BOLSA 100 PZS ANBEC","ENP14L","7506069011115","ANBEC","0.0","98.0","Pieza"
"EMPAQUE DE NEOPRENO PLANO 3/8 BOLSA 100 PZS ANBEC","ENP38","7506069011184","ANBEC","0.0","98.0","Pieza"
"EMPAQUE DE NEOPRENO PLANO 3/8 L BOLSA 100 PZS ANBEC","ENP38L","7506069011122","ANBEC","0.0","98.0","Pieza"
"EMPAQUE DE NEOPRENO PLANO 3/8 M BOLSA 100 PZS ANBEC","ENP38M","7506069011191","ANBEC","0.0","98.0","Pieza"
"EMPAQUE DE NEOPRENO PLANO PARA JARDIN 3/4 BOLSA 100 PZS ANBEC","ENP764","7506069045080","ANBEC","0.0","135.0","Pieza"
"EMPAQUE DE NEOPRENO VULCANIZADO GALVANIZADO NO63 1/4x16","09-028-1/4x16","","EL TORNILLO","0.14","0.5","Pieza"
"EMPAQUE DE NEOPRENO VULCANIZADO GALVANIZADO NO96 1/4x1 1/2","09-028-1/4x1-1/2","","EL TORNILLO","1.09","2.0","Pieza"
"EMPAQUE ESPONJOSO PARA SANITARIO 2 ANBEC","EMPE","7506069050985","ANBEC","0.0","13.5","Pieza"
"EMPAQUE ESPONJOSO PARA SANITARIO 3 ANBEC","EE1025","7506069011351","ANBEC","0.0","64.5","Pieza"
"EMPAQUE ESPONJOSO TANQUE-TAZA 2""","","","ABRAMEX","0.0","15.0","Pieza"
"EMPAQUE ESPONJOSO TANQUE-TAZA 3"" COF PB7002","15432","710631917430","ABRAMEX","16.65","24.0","Pieza"
"EMPAQUE HULE PARA MANGUERA 10PZ JUEGO 130375 SURTEK","130375","660731303759","SURTEK","5.4","8.0","Pieza"
"EMPAQUE NEOPRENO 6","","","All","34.800000000000004","46.0","Pieza"
"EMPAQUE O RING PIGTAIL ERA21  COFLEX****","15640","","ABRAMEX","1.21","2.0","Pieza"
"EMPAQUE O-RING 1/2 #111 C/100","E111","","ABRAMEX","41.300000000000004","60.0","Pieza"
"EMPAQUE O-RING 1/2 #111, 1 PZA","E111","","ABRAMEX","0.0","2.0","Pieza"
"EMPAQUE O-RING 1/2 BOLSA 100 PZS ANBEC","EMPO12","7506069011146","ANBEC","0.0","84.0","Pieza"
"EMPAQUE O-RING 1/2 INT 11/16 EXT BOLSA 100 PZS ANBEC","EMPO1332","7506069052613","ANBEC","0.0","84.0","Pieza"
"EMPAQUE O-RING 1/2 INT 5/8 EXT BOLSA 100 PZS ANBEC","EMPO1333","7506069052620","ANBEC","0.0","84.0","Pieza"
"EMPAQUE O-RING 1/4 INT 3/8 EXT BOLSA 100 PZS ANBEC","EMPO1329","7506069052583","ANBEC","0.0","74.0","Pieza"
"EMPAQUE O-RING 1/8 INT 1/4 EXT BOLSA 100 PZS ANBEC","EMPO1336","7506069052651","ANBEC","0.0","84.0","Pieza"
