Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
GALVANIZADA RONDANA PRESION G2 NC 1/8,,,All,0.04,0.5,Pieza,0.46,92.0
GALVANIZADA RONDANA PRESION G2 NC 532,,,All,0.04,0.5,Pieza,0.46,92.0
GRAPA AISLADA CAJA CON 40 PZS # 3,,,All,0.4,1.0,Pieza,0.6,60.0
GRAPA CPVC 1/2 ANBEC,GCPVC12,7506069039706,ANBEC,0.0,1.0,Pieza,1.0,100.0
HILUX CHASIS CABINA,,,All,0.0,1.0,,1.0,100.0
J.R MANTENIMIENTO Y CONSTRUCCIÓN,,,All,0.0,1.0,,1.0,100.0
Juego de Arnes para tubo M 3”,,,All,0.0,0.0,Pieza,0.0,
Juego de Arnes para tubo M 4”,,,All,0.0,0.0,Pieza,0.0,
Kit de adaptadores para tubo 250 M 3”.,,,All,0.0,0.0,Pieza,0.0,
MANILLON,,,All,0.0,1.0,,1.0,100.0
MEZCLADORA LAVABO MONOMANDO 30CM,,,All,0.0,1.0,,1.0,100.0
MULTICONDUCTOR FLEXIBLE TW  60 600V 2X16,,,All,0.0,1.0,Pieza,1.0,100.0
NIPLE GALVANIZADO 25mmX1.5,,,LIMSA,0.0,0.0,Pieza,0.0,
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 1/4x1/2,09-009-1/4X1/2,40042732700011,EL TORNILLO,0.32,1.0,Pieza,0.6799999999999999,68.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 10x1,09-009-10X1,,EL TORNILLO,0.34,1.0,Pieza,0.6599999999999999,65.99999999999999
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 10x1-1/2,09-009-10X1-1/2,,EL TORNILLO,0.36,1.0,Pieza,0.64,64.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 10x1/2,09-009-10X1/2,,EL TORNILLO,0.15,0.5,Pieza,0.35,70.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 10x3/4,09-009-10X3/4,,EL TORNILLO,0.22,0.5,Pieza,0.28,56.00000000000001
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 12x1,09-009-12X1,,EL TORNILLO,0.38,1.0,Pieza,0.62,62.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 12x1/2,09-009-12X1/2,,EL TORNILLO,0.31,1.0,Pieza,0.69,69.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 12x3/4,09-009-12X3/4,,EL TORNILLO,0.34,1.0,Pieza,0.6599999999999999,65.99999999999999
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 4x1,09-009-4X1,,EL TORNILLO,0.12,0.5,Pieza,0.38,76.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 4x1/2,09-009-4X1/2,,EL TORNILLO,0.14,0.5,Pieza,0.36,72.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 4x3/4,09-009-4X3/4,,EL TORNILLO,0.3,1.0,Pieza,0.7,70.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 6X2-1/2,09-009-6X2-1/2,,EL TORNILLO,0.29,1.0,Pieza,0.71,71.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 6X3,09-009-6X3,,EL TORNILLO,0.38,1.0,Pieza,0.62,62.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 6x1,09-009-6X1,,EL TORNILLO,0.15,0.5,Pieza,0.35,70.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 6x1-1/2,09-009-6X1-1/2,,EL TORNILLO,0.2,0.5,Pieza,0.3,60.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 6x1-1/4,09-009-6X1-1/4,,EL TORNILLO,0.17,0.5,Pieza,0.3299999999999999,65.99999999999999
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 6x1/2,09-009-6X1/2,,EL TORNILLO,0.14,0.5,Pieza,0.36,72.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 6x2,09-009-6X2,,EL TORNILLO,0.24,1.0,Pieza,0.76,76.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 6x3/4,09-009-6X3/4,,EL TORNILLO,0.14,0.5,Pieza,0.36,72.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 8x1,09-009-8X1,,EL TORNILLO,0.3,0.5,Pieza,0.2,40.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 8x1-1/2,09-009-8X1-1/2,,EL TORNILLO,0.27,1.0,Pieza,0.73,73.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 8x1-1/4,09-009-8X1-1/4,,EL TORNILLO,0.28,0.5,Pieza,0.2199999999999999,43.99999999999999
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 8x1/2,,,EL TORNILLO,0.15,0.5,Pieza,0.35,70.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 8x2,09-009-8X2,,EL TORNILLO,0.33,1.0,Pieza,0.6699999999999999,67.0
PIJA CABEZA FIJADORA COMBINADA PUNTA AB GALVANIZADA 8x3/4,09-009-8X3/4,,EL TORNILLO,0.16,0.5,Pieza,0.3399999999999999,68.0
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 1/4x3/4,09-016-1/4X3/4,,EL TORNILLO,0.48,1.0,Pieza,0.52,52.0
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 10x1,09-016-10X1,,EL TORNILLO,0.39,1.0,Pieza,0.61,61.0
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 10x1-1/4,09-016-10X1-1/4,,EL TORNILLO,0.47,1.0,Pieza,0.53,53.0
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 10x1/2,09-016-10X1/2,,EL TORNILLO,0.29,1.0,Pieza,0.71,71.0
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 10x3/4,09-016-10X3/4,,EL TORNILLO,0.3,1.0,Pieza,0.7,70.0
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 10x5/8,09-016-10X5/8,,EL TORNILLO,0.42,1.0,Pieza,0.5800000000000001,58.00000000000001
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 12x1/2,09-016-12X1/2,,EL TORNILLO,0.42,1.0,Pieza,0.5800000000000001,58.00000000000001
PIJA CABEZA HEXAGONAL PUNTA AB GALVANIZADA 6x1,09-016-6X1,,EL TORNILLO,0.18,0.5,Pieza,0.32,64.0
