Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
"CAJA CUADRADA GALVANIZADA DE 1/2"" 3X3",CUGA1-2,,All,4.7,10.0,Pieza,5.3,53.0
CAJA CUADRADA GALVANIZADO 4X4,,,All,10.0,12.0,Pieza,2.0,16.666666666666664
CAJA RECTANGULAR FS-1 (1/2),,,All,206.35,280.0,Pieza,73.65,26.30357142857143
CAJA RECTANGULAR FSC-1 (1/2),,,All,234.61,325.0,Pieza,90.39,27.812307692307687
"CAJA REDONDA GALVANIZADA DE 1/2""",CAJGAL1-2,,All,4.7,10.0,Pieza,5.3,53.0
CAJA REGISTRO SERIE RECTANGULAR FS 3/4,,,All,0.0,250.0,Pieza,250.0,100.0
CALACATTA BOHEME HO 2CM,,,All,4249.56,5524.0,Pieza,1274.4399999999996,23.07096307023895
CALENT SOLAR 89 LTS GRAV INOX 8T INST JARRO/AIRE NO CPVC 8 TUBOS,,,All,3336.21,4650.0,Pieza,1313.79,28.25354838709677
CALENTADOR SOLAR 12 TUBOS ACERO INOXIDABLE MARCA ECOTEMPER,,,All,3250.0,4550.0,Pieza,1300.0,28.57142857142857
CALENTADOR SOLAR 20 TUBOS ACERO INOXIDABLE MARCA ECOTEMPER,CSBPTEM20,,All,3080.0,4430.0,Pieza,1350.0,30.474040632054177
CANAL DE AMARRE 4.10 X 3.05 CAL. 26,,,All,54.0,76.59,Pieza,22.590000000000003,29.49471210340776
CANAL DE AMARRE 6.35 X 3.05 CAL. 26,,,All,63.22,89.0,Pieza,25.78,28.966292134831463
CANDADO DEXTER ANTIPALANCA 70MM LLAVE TETRA GRIS BP,,,All,392.0,490.0,Pieza,98.0,20.0
CANDADO HIERRO 32MM DORADO CORTO CHI32LGC,,7506463600366,All,19.0,38.0,Pieza,19.0,50.0
CANDADO HIERRO 38MM DORADO CORTO CHI38LGC FERKY,,7506463600403,All,23.9,45.0,Pieza,21.1,46.88888888888889
CANDADO HOCKEY PUCK ML TPLR,6064 MTL600262,,All,4533.39,6346.0,Pieza,1812.61,28.563031831074685
CANDADOS DE GANCHO LARGO 740 ESPQLF - MASTERLOCK (4 PIEZAS),,,All,0.0,700.0,Pieza,700.0,100.0
CAPUCHA ESPADA 48X38 2 X 1 1/2,,,All,26.0,33.0,Pieza,7.0,21.21212121212121
CAPUCHA SIMPLE 60MM 2 1/2,,,All,14.0,20.0,Pieza,6.0,30.0
"CARRETILLA 5FT3 NEUMATICA, BASTIDOR TUBULAR TRUPER",,,All,0.0,2850.0,Pieza,2850.0,100.0
CAS. D10 .40X.40X.15,,,All,21.37,29.93,Pieza,8.559999999999999,28.60006682258603
CAS. D10 .40X.40X.25,,,All,35.72,50.0,Pieza,14.28,28.56
CASTILLO 15 X 15 3/8 TIPO II,,,All,277.0,387.0,Pieza,110.0,28.42377260981912
CASTILLO 15-30-4 ELECTROSOLDADO,,,All,193.0,265.0,Pieza,72.0,27.16981132075472
CAÑAMO  1MT,,,All,0.0,1.5,Pieza,1.5,100.0
CEMENTO GRIS SACO 50 KG MONTERREY,,,All,197.5,235.0,Saco,37.5,15.95744680851064
CENTRO DE CARGA DE 2 POLOS EMPOTRAR,,,All,202.94,284.0,Pieza,81.06,28.54225352112676
CENTRO DE CARGA DE 2 POLOS SOBREPONER,,,All,251.43,350.0,Pieza,98.57,28.16285714285714
CENTRO DE CARGA DE 3 POLOS DE SOBREPONER,,,All,427.0,600.0,Pieza,173.0,28.83333333333333
"CEPILLO ALAMBRE 6"""" X 19"""" SIN MANGO",,,All,75.0,94.0,Pieza,19.0,20.212765957446805
CERRADURA DEXTER PERILLA BARZA CILINDR S/LLAVE AI CP,,,All,148.0,185.0,Pieza,37.0,20.0
"CESPOL FLEXIBLE SIN BOTE, CON REJILLA DE ACERO INOXIDABLE",UP3712,7501973749741,All,60.0,85.0,Pieza,25.0,29.411764705882355
CESPOL LAVABO C/CONTRA 2001 A. INOX,,,All,0.0,317.19,Pieza,317.19,100.0
CESPOL PARA LAVABO CHICO FLEXIBLE S7C F-2218,,,All,103.0,129.0,Pieza,26.0,20.155038759689923
CESPOL PRACTICO P/ LAVABO FLEXIBLE PVC TIPO P 2932 FLEXIMATIC,,,All,44.0,56.0,Pieza,12.0,21.428571428571427
CHA BAÑO ACERO INOX CILINDRICA FLCB-AI FERKY,FLCBAI,7506463600618,All,90.58,135.0,Pieza,44.42,32.903703703703705
